Starting...
2023-08-23 20:47:35.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:35.786 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:35.99 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:36.191 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:36.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:36.592 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:36.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:36.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:37.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:37.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:37.59 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:37.785 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:37.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:38.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:38.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:38.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:38.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:38.991 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:39.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:39.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:39.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:39.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:39.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:40.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:40.392 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:40.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:40.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:40.991 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:41.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:41.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:41.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:41.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:41.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:42.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:42.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:42.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:42.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.016 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:43.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:44.189 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:44.388 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:44.586 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:44.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:44.987 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:45.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:45.386 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:45.589 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:45.787 +0000 UTC | LIDAR | SUCC 
